------ LISTA DE COMPRAS INVÁLIDAS -------
Erro	Linha
PRODUTO_INVALIDO	SX3923 1.47 4 N EK565 4
PRODUTO_INVALIDO	TK4367 4.52 6 P FT379 2
PRODUTO_INVALIDO	ND5075 15.57 2 N DK242 6
PRODUTO_INVALIDO	JR9196 13.8 5 P EN432 11
PRODUTO_INVALIDO	WC2899 1.39 5 P AF290 8
PRODUTO_INVALIDO	MT6488 9.2 2 P DU196 12
PRODUTO_INVALIDO	MA1672 15.83 4 P FW379 1
PRODUTO_INVALIDO	QQ4677 9.79 2 P CO112 7
PRODUTO_INVALIDO	YT3113 13.16 6 P DH333 2
PRODUTO_INVALIDO	TJ2232 9.55 2 N AY169 12
PRODUTO_INVALIDO	FC8346 11.31 6 P CM503 11
PRODUTO_INVALIDO	GW9187 3.72 4 N DU753 1
PRODUTO_INVALIDO	MT6499 0.95 1 N DN311 3
PRODUTO_INVALIDO	AI1965 17.78 4 P AV424 9
PRODUTO_INVALIDO	LX3090 15.35 4 P FK832 7
PRODUTO_INVALIDO	NF5030 4.92 2 N FG848 2
PRODUTO_INVALIDO	LB5945 19.97 5 P ET125 7
PRODUTO_INVALIDO	HK6383 7.96 4 P AI804 7
PRODUTO_INVALIDO	QK9486 7.64 2 P CL650 3
PRODUTO_INVALIDO	RM4257 0.6 2 N EM168 12
PRODUTO_INVALIDO	PE7874 13.46 6 N FQ948 2
PRODUTO_INVALIDO	KR4877 1.29 4 P BF718 11
PRODUTO_INVALIDO	KR4856 7.89 5 N FZ782 2
PRODUTO_INVALIDO	IZ2692 20.42 3 N CQ564 1
PRODUTO_INVALIDO	ZA1042 7.79 1 N AQ942 12
PRODUTO_INVALIDO	HN9787 17.7 5 N AI119 5
PRODUTO_INVALIDO	LH7410 8.51 4 N DM670 10
PRODUTO_INVALIDO	ZD4788 15.95 4 N CP544 10
PRODUTO_INVALIDO	CI7638 15.19 3 N FF396 6
PRODUTO_INVALIDO	HU9358 19.13 3 N FU809 1
PRODUTO_INVALIDO	FR9482 6.52 4 P AP922 10
PRODUTO_INVALIDO	NX6557 7.44 6 P CJ234 2
PRODUTO_INVALIDO	LH7301 15.94 4 N AM439 12
PRODUTO_INVALIDO	NU8680 20.9 6 N CS864 8
PRODUTO_INVALIDO	JO7341 7.97 4 N DR269 5
PRODUTO_INVALIDO	JO7257 14.97 3 P AQ376 1
PRODUTO_INVALIDO	BM6621 18.6 5 P BN896 5
PRODUTO_INVALIDO	LH7352 20.13 1 N DI606 5
PRODUTO_INVALIDO	PK4779 14.67 1 P EI293 9
PRODUTO_INVALIDO	UJ4924 2.41 1 N EP894 8
PRODUTO_INVALIDO	JO7244 5.68 2 P EW428 10
PRODUTO_INVALIDO	PK4632 2.83 4 P DF251 8
PRODUTO_INVALIDO	PL3152 3.76 2 P DG264 3
PRODUTO_INVALIDO	NT2768 16.95 3 N BY109 1
PRODUTO_INVALIDO	TK4738 10.76 5 N FU637 11
PRODUTO_INVALIDO	DQ7068 6.2 5 N EV552 8
PRODUTO_INVALIDO	IF7516 13.5 4 P AK927 4
PRODUTO_INVALIDO	CI7566 15.61 3 P AO564 7
PRODUTO_INVALIDO	JZ7757 12.4 1 N AS887 8
PRODUTO_INVALIDO	ZA1212 19.35 3 N DY646 6
PRODUTO_INVALIDO	BO9391 10.93 3 N FQ579 5
PRODUTO_INVALIDO	TM2262 12.3 2 N AT293 9
PRODUTO_INVALIDO	SZ7006 19.56 5 P BN950 12
PRODUTO_INVALIDO	FR9539 4.13 6 P EI929 7
PRODUTO_INVALIDO	PE7800 15.87 1 N FQ200 2
PRODUTO_INVALIDO	UM7447 7.3 6 N EX940 4
PRODUTO_INVALIDO	QK9451 17.7 6 N FY978 9
PRODUTO_INVALIDO	KR4739 9.32 1 P BH959 2
PRODUTO_INVALIDO	PV5691 16.74 5 N DQ687 2
PRODUTO_INVALIDO	DV1485 14.15 4 P CP872 6
PRODUTO_INVALIDO	YT3369 9.84 6 P CX215 7
PRODUTO_INVALIDO	BP6926 13.42 5 P FR369 2
PRODUTO_INVALIDO	HN9787 5.27 5 N EK723 12
PRODUTO_INVALIDO	HU9337 5.69 2 P FJ783 3
PRODUTO_INVALIDO	OI6014 14.32 3 N AU825 10
PRODUTO_INVALIDO	IF7666 10.63 2 N CW818 6
PRODUTO_INVALIDO	AI1897 19.2 6 P EH698 6
PRODUTO_INVALIDO	UJ4947 18.13 2 P DO874 3
PRODUTO_INVALIDO	ZA1097 6.81 6 P BI292 1
PRODUTO_INVALIDO	HZ3644 7.63 3 P FU153 1
PRODUTO_INVALIDO	CW1690 19.44 1 N DT309 1
PRODUTO_INVALIDO	CW1606 4.93 2 P EZ607 1
PRODUTO_INVALIDO	IZ2956 16.45 6 P FL804 8
PRODUTO_INVALIDO	ZA3941 5.68 3 P FT779 1
PRODUTO_INVALIDO	JR9008 10.82 2 N FS624 1
PRODUTO_INVALIDO	DS1777 11.45 5 N EN307 9
PRODUTO_INVALIDO	WY2004 13.1 1 P EG490 9
PRODUTO_INVALIDO	PL3156 5.16 3 N FQ381 4
PRODUTO_INVALIDO	AI1913 20.34 4 N DS259 9
PRODUTO_INVALIDO	BP6947 13.23 4 N FR417 12
PRODUTO_INVALIDO	IZ2692 0.29 2 N CK158 1
PRODUTO_INVALIDO	TJ2279 20.1 5 P BX916 5
PRODUTO_INVALIDO	FL8994 20.74 6 P FZ869 9
PRODUTO_INVALIDO	GG3070 18.64 6 P BK949 7
PRODUTO_INVALIDO	YR1044 8.73 1 N CH213 8
PRODUTO_INVALIDO	CF7958 7.68 3 N CQ531 11
PRODUTO_INVALIDO	DS1739 3.97 5 N AK662 2
PRODUTO_INVALIDO	SZ7063 18.82 4 P CI269 9
PRODUTO_INVALIDO	GY3649 15.22 1 N DP758 7
PRODUTO_INVALIDO	AI1838 19.52 6 P AQ568 2
PRODUTO_INVALIDO	OV3687 11.61 5 N AU934 6
PRODUTO_INVALIDO	VC9928 14.4 4 P ES327 11
PRODUTO_INVALIDO	JH6133 13.23 5 N FI691 12
PRODUTO_INVALIDO	PI1244 6.55 2 P DM412 3
PRODUTO_INVALIDO	RM4271 9.88 6 P CZ622 7
PRODUTO_INVALIDO	GG3032 17.4 5 P FV135 8
PRODUTO_INVALIDO	BT2278 5.12 5 N EX810 3
PRODUTO_INVALIDO	JZ7754 10.83 4 P DT656 9
PRODUTO_INVALIDO	MP8333 8.33 1 N CT693 2
PRODUTO_INVALIDO	YV6678 17.35 1 N CR925 4
PRODUTO_INVALIDO	QJ7047 11.26 5 P CS873 12
PRODUTO_INVALIDO	GF6439 6.27 4 P FM570 12
PRODUTO_INVALIDO	CI7777 9.22 3 N CM227 9
PRODUTO_INVALIDO	LX3055 4.83 4 N DF307 11
PRODUTO_INVALIDO	MT6483 10.92 3 N AW152 10
PRODUTO_INVALIDO	YV6678 3.59 2 N FO116 10
PRODUTO_INVALIDO	JO7264 10.43 4 N EF924 3
PRODUTO_INVALIDO	ER1809 15.14 3 N AG584 4
PRODUTO_INVALIDO	VO6232 15.95 4 N BN471 10
PRODUTO_INVALIDO	CK2829 20.3 4 N BY610 4
PRODUTO_INVALIDO	CN1442 5.74 6 N CO587 2
PRODUTO_INVALIDO	RM4284 8.71 6 N AN103 6
PRODUTO_INVALIDO	GY3980 8.82 1 P BY563 8
PRODUTO_INVALIDO	GY3965 4.32 5 N EP116 7
PRODUTO_INVALIDO	ND5146 19.88 2 P BR230 8
PRODUTO_INVALIDO	FC8263 16.42 4 P DO363 6
PRODUTO_INVALIDO	CW1669 1.45 5 P CI519 2
PRODUTO_INVALIDO	NT2603 16.49 2 N FJ885 5
PRODUTO_INVALIDO	ZA1150 19.61 5 N FO970 8
PRODUTO_INVALIDO	VO6444 17.43 2 N BS211 8
PRODUTO_INVALIDO	ZA1134 9.96 3 N DT359 11
PRODUTO_INVALIDO	GV4379 11.18 5 N AP775 3
PRODUTO_INVALIDO	FR9561 9.76 5 N AX497 9
PRODUTO_INVALIDO	OV3557 0.25 4 P FR595 5
PRODUTO_INVALIDO	DJ1276 20.27 2 P DP454 2
PRODUTO_INVALIDO	MO2364 0.4 3 P FM152 12
PRODUTO_INVALIDO	AH6564 14.62 6 P DI573 4
PRODUTO_INVALIDO	TJ2285 9.13 2 P ER308 6
PRODUTO_INVALIDO	AH6640 10.6 5 P DW878 12
PRODUTO_INVALIDO	YB1744 16.87 3 N EI595 8
PRODUTO_INVALIDO	SI3944 11.7 1 P BN647 8
PRODUTO_INVALIDO	GY3980 18.7 4 P FT939 6
PRODUTO_INVALIDO	SZ7141 12.18 5 N BP790 11
PRODUTO_INVALIDO	SL7873 12.59 1 N AN184 12
PRODUTO_INVALIDO	RM4284 17.16 6 N DF771 1
PRODUTO_INVALIDO	FZ7823 11.99 4 N EI138 4
PRODUTO_INVALIDO	IF7525 12.6 2 N DY208 11
PRODUTO_INVALIDO	FF9916 11.76 4 P EF118 9
PRODUTO_INVALIDO	JT1328 2.52 2 N BS176 5
PRODUTO_INVALIDO	BN3492 19.99 6 P EU671 2
PRODUTO_INVALIDO	HK6383 16.41 1 N FN695 11
PRODUTO_INVALIDO	ZA1444 13.43 5 N EG154 7
PRODUTO_INVALIDO	MT6338 8.8 1 N DQ746 4
PRODUTO_INVALIDO	MP8472 18.7 5 N EV900 5
PRODUTO_INVALIDO	PI1265 13.73 1 P AG490 2
PRODUTO_INVALIDO	YT3281 2.29 4 N FP848 7
PRODUTO_INVALIDO	YP7655 3.22 3 N FW577 3
PRODUTO_INVALIDO	IT3752 7.75 1 N AN855 10
PRODUTO_INVALIDO	JZ7754 16.95 4 P CP804 1
PRODUTO_INVALIDO	YV6678 15.9 1 N DF771 4
PRODUTO_INVALIDO	UM7602 17.93 1 P FX794 8
PRODUTO_INVALIDO	FC8274 13.99 6 P AO878 2
PRODUTO_INVALIDO	IF7695 10.97 4 P DG290 6
PRODUTO_INVALIDO	NO5798 7.69 1 P CJ234 8
PRODUTO_INVALIDO	VI5149 13.8 2 P FZ832 10
PRODUTO_INVALIDO	CI7720 6.61 5 N BO405 3
PRODUTO_INVALIDO	VT1712 1.1 3 N FU241 8
PRODUTO_INVALIDO	JR9195 17.26 4 N FS284 6
PRODUTO_INVALIDO	RL5735 6.78 1 P DF718 11
PRODUTO_INVALIDO	TT3449 14.69 4 N FW637 11
PRODUTO_INVALIDO	CI7708 17.17 2 P AO682 8
PRODUTO_INVALIDO	NU8534 1.55 5 P EN923 4
PRODUTO_INVALIDO	CK2711 15.66 6 P BW199 4
PRODUTO_INVALIDO	OI6169 12.5 6 N EP219 9
PRODUTO_INVALIDO	TJ2190 18.45 5 N AU439 4
PRODUTO_INVALIDO	PE7838 20.72 3 P CV721 8
PRODUTO_INVALIDO	ND5075 16.46 5 N CL939 3
PRODUTO_INVALIDO	TJ2153 7.41 6 N CQ585 8
PRODUTO_INVALIDO	KR4763 12.76 4 N CJ380 10
PRODUTO_INVALIDO	XC2523 9.27 5 P FR448 12
PRODUTO_INVALIDO	OW9526 15.51 4 N EN297 12
PRODUTO_INVALIDO	CI7651 8.99 4 N BY398 7
PRODUTO_INVALIDO	OQ4214 20.66 6 N FT235 2
PRODUTO_INVALIDO	QJ7221 17.52 4 N CX606 8
PRODUTO_INVALIDO	PT9691 3.78 5 N AM532 9
PRODUTO_INVALIDO	IL9079 15.89 3 P EK648 5
PRODUTO_INVALIDO	QJ7139 10.58 2 N CH435 8
PRODUTO_INVALIDO	MP8475 14.67 2 N FP822 3
PRODUTO_INVALIDO	YB1744 14.56 2 P FW771 1
PRODUTO_INVALIDO	VL5269 19.59 2 N CS578 3
PRODUTO_INVALIDO	BP6706 9.9 2 P BK592 11
PRODUTO_INVALIDO	KR4613 14.4 2 N FG756 4
PRODUTO_INVALIDO	AD3624 16.15 1 N AV531 6
PRODUTO_INVALIDO	ZD4577 1.36 4 N ET881 10
PRODUTO_INVALIDO	OI6090 3.88 4 N BI602 8
PRODUTO_INVALIDO	DE8350 14.63 2 P AU106 12
PRODUTO_INVALIDO	YT3113 17.2 2 P DM378 5
PRODUTO_INVALIDO	RM4271 0.91 2 P DK659 7
PRODUTO_INVALIDO	GG3154 9.43 6 N DW492 9
PRODUTO_INVALIDO	ZA3830 10.43 4 N BH404 6
PRODUTO_INVALIDO	TM2247 8.27 2 N EF843 7
PRODUTO_INVALIDO	IL9079 13.26 1 P DQ152 4
PRODUTO_INVALIDO	IF7573 17.87 1 P ER805 6
PRODUTO_INVALIDO	LW5084 7.84 2 P AQ939 3
PRODUTO_INVALIDO	FR9560 7.9 2 P FT118 11
PRODUTO_INVALIDO	AD3676 6.31 6 P FY369 1
PRODUTO_INVALIDO	FM9902 10.74 6 P EZ396 9
PRODUTO_INVALIDO	HU9352 2.94 5 P EJ347 1
PRODUTO_INVALIDO	AQ6907 9.86 3 P CK584 12
PRODUTO_INVALIDO	OW9241 0.86 4 N FT607 4
PRODUTO_INVALIDO	PS7277 4.64 3 N AJ492 7
PRODUTO_INVALIDO	DV1430 10.22 5 P DT471 7
PRODUTO_INVALIDO	HC8424 1.35 2 P BM473 10
PRODUTO_INVALIDO	KR4763 3.25 5 N AH849 10
PRODUTO_INVALIDO	IA1780 5.93 3 N FJ520 8
PRODUTO_INVALIDO	NX6557 16.39 3 N AO329 12
PRODUTO_INVALIDO	KS1472 6.58 2 N BK731 12
PRODUTO_INVALIDO	HS4985 18.46 4 N DT764 7
PRODUTO_INVALIDO	KR4730 9.43 5 N FR165 2
PRODUTO_INVALIDO	FI3208 20.59 1 P BV577 8
PRODUTO_INVALIDO	FF9916 18.3 3 N CL317 1
PRODUTO_INVALIDO	CI7708 15.0 6 N FQ886 9
PRODUTO_INVALIDO	RM4288 13.4 6 P FF204 7
PRODUTO_INVALIDO	NZ9949 0.37 2 P AJ192 10
PRODUTO_INVALIDO	OV3292 16.87 3 P ER831 8
PRODUTO_INVALIDO	ZW1025 7.66 1 N FW402 7
PRODUTO_INVALIDO	SZ7006 7.46 5 P EO687 4
PRODUTO_INVALIDO	HC8431 9.0 2 N CY494 3
PRODUTO_INVALIDO	PI1244 5.35 5 P FN678 7
PRODUTO_INVALIDO	UM7585 16.35 6 N DG930 9
PRODUTO_INVALIDO	OW9580 19.26 2 P DU658 11
PRODUTO_INVALIDO	HH2335 2.6 1 N FQ200 10
PRODUTO_INVALIDO	ZA1097 10.6 6 N CI101 12
PRODUTO_INVALIDO	OI6143 20.7 4 N BV767 6
PRODUTO_INVALIDO	KR4697 16.82 2 P BT504 6
PRODUTO_INVALIDO	PT9760 16.7 1 P AP997 7
PRODUTO_INVALIDO	GV4573 13.2 5 P EV151 7
PRODUTO_INVALIDO	ZA3973 12.75 3 P ET599 5
PRODUTO_INVALIDO	MO2420 19.26 5 N EO805 3
PRODUTO_INVALIDO	EM7950 5.34 1 N EW832 3
PRODUTO_INVALIDO	UJ4960 19.37 4 P AJ830 1
PRODUTO_INVALIDO	FC8117 6.7 5 P DR532 10
PRODUTO_INVALIDO	HZ3645 12.78 5 N EL700 1
PRODUTO_INVALIDO	HK6368 11.75 1 N CV903 3
PRODUTO_INVALIDO	IF7611 14.1 3 N CS701 1
PRODUTO_INVALIDO	HU9337 7.63 5 P AP527 6
PRODUTO_INVALIDO	FJ5264 11.23 2 P DY891 1
PRODUTO_INVALIDO	XJ7279 17.37 5 P DQ437 6
PRODUTO_INVALIDO	ZW1029 10.48 6 P CG210 8
PRODUTO_INVALIDO	ZZ6681 6.63 5 N CQ110 8
PRODUTO_INVALIDO	PL3268 12.24 2 P DV519 12
PRODUTO_INVALIDO	OQ4202 14.55 5 N DV417 7
PRODUTO_INVALIDO	UM7434 2.98 1 P EQ383 1
PRODUTO_INVALIDO	QK9581 16.19 5 N DP956 3
PRODUTO_INVALIDO	FZ7839 7.2 5 N FW131 1
PRODUTO_INVALIDO	PI1109 18.35 4 N FS320 10
PRODUTO_INVALIDO	DS1754 3.25 1 P DU354 1
PRODUTO_INVALIDO	HZ3644 1.8 3 P BI593 4
PRODUTO_INVALIDO	YT3113 13.41 6 N FN283 2
PRODUTO_INVALIDO	JR9196 7.53 2 P CN301 3
PRODUTO_INVALIDO	DQ7033 0.23 1 P FU944 4
PRODUTO_INVALIDO	ZA1166 0.4 2 N BP788 12
PRODUTO_INVALIDO	HH2179 15.6 2 N BH571 8
PRODUTO_INVALIDO	BP6905 4.8 5 P CL244 12
PRODUTO_INVALIDO	TM2247 2.35 2 N EU126 10
PRODUTO_INVALIDO	JO7264 8.12 2 N DN355 12
PRODUTO_INVALIDO	SZ7141 17.88 5 P DW231 3
PRODUTO_INVALIDO	SX3816 19.18 6 N AR280 9
PRODUTO_INVALIDO	DV1310 14.45 3 P FO569 9
PRODUTO_INVALIDO	DE8426 20.85 3 N EK334 10
PRODUTO_INVALIDO	FC8286 19.46 5 N EY915 5
PRODUTO_INVALIDO	UM7510 11.16 1 P CU918 5
PRODUTO_INVALIDO	JB9988 13.9 6 N DH662 8
PRODUTO_INVALIDO	LH7301 13.67 1 P AW479 9
PRODUTO_INVALIDO	GG3229 12.61 5 N BG994 2
PRODUTO_INVALIDO	SD9106 11.35 6 N BY923 2
PRODUTO_INVALIDO	TM2363 20.48 6 P DO818 1
PRODUTO_INVALIDO	GY3657 17.11 6 N DJ106 5
PRODUTO_INVALIDO	SI3944 14.64 6 P BO222 12
PRODUTO_INVALIDO	CW1606 3.44 5 P AK817 8
PRODUTO_INVALIDO	PF9690 4.18 3 P FY874 7
PRODUTO_INVALIDO	HN9843 18.65 4 P CR811 12
PRODUTO_INVALIDO	OI6125 9.53 5 N CR555 8
PRODUTO_INVALIDO	QQ4658 8.77 1 P CM232 7
PRODUTO_INVALIDO	HC8424 20.21 3 P BO951 8
PRODUTO_INVALIDO	DS1650 2.2 2 N EX383 12
PRODUTO_INVALIDO	IF7701 6.18 5 P CK831 1
PRODUTO_INVALIDO	PK4628 15.45 2 N FR205 10
PRODUTO_INVALIDO	ER1809 14.46 5 N BZ593 9
PRODUTO_INVALIDO	QQ4554 9.37 3 N FZ407 1
PRODUTO_INVALIDO	PI1189 1.44 3 P FQ634 6
PRODUTO_INVALIDO	AK5049 9.71 6 N EK746 7
PRODUTO_INVALIDO	MO2484 19.7 4 P BX413 2
PRODUTO_INVALIDO	YB1576 9.59 3 N DM462 2
PRODUTO_INVALIDO	HK6368 6.38 6 N AO732 6
PRODUTO_INVALIDO	WC2727 15.33 5 N CL830 12
PRODUTO_INVALIDO	DE8401 12.69 3 P AH919 11
PRODUTO_INVALIDO	RL5710 1.55 4 P BG687 5
PRODUTO_INVALIDO	OW9580 9.89 2 P BH116 4
PRODUTO_INVALIDO	DQ7172 7.97 3 N AL763 3
PRODUTO_INVALIDO	QK9586 0.3 2 P AS696 3
PRODUTO_INVALIDO	CF7965 13.36 6 P BZ918 1
PRODUTO_INVALIDO	KS1405 10.18 4 P CO698 3
PRODUTO_INVALIDO	GY3705 8.71 1 P AR661 4
PRODUTO_INVALIDO	PV5861 17.0 3 N EG809 6
PRODUTO_INVALIDO	ZW1216 7.27 5 P BM477 3
PRODUTO_INVALIDO	HK6349 8.14 6 N DZ982 12
PRODUTO_INVALIDO	NX6589 14.28 6 N DK360 1
PRODUTO_INVALIDO	DQ7222 13.35 2 N DV892 8
PRODUTO_INVALIDO	MT6456 14.89 4 N DO212 6
PRODUTO_INVALIDO	OW9466 11.31 6 N DN748 3
PRODUTO_INVALIDO	HH2261 7.6 6 N BQ433 7
PRODUTO_INVALIDO	FZ7836 3.7 1 N AL217 4
PRODUTO_INVALIDO	DV1487 7.24 1 N EY448 4
PRODUTO_INVALIDO	ZD4770 9.45 4 P BF488 7
PRODUTO_INVALIDO	PF9581 15.86 1 P BI653 4
PRODUTO_INVALIDO	FC8149 15.78 2 P AV606 10
PRODUTO_INVALIDO	ER1680 3.61 1 P ES818 2
PRODUTO_INVALIDO	GF6303 14.73 1 N BW832 4
PRODUTO_INVALIDO	JH6133 1.36 1 N FK825 1
PRODUTO_INVALIDO	ZP3647 0.66 1 N EV255 8
PRODUTO_INVALIDO	DE8256 3.41 5 P EO521 6
PRODUTO_INVALIDO	TM2406 18.58 1 P EM386 6
PRODUTO_INVALIDO	JZ7705 1.8 5 N FN389 2
PRODUTO_INVALIDO	FJ5249 4.54 5 N BT332 8
PRODUTO_INVALIDO	PI1109 18.83 3 N FY487 11
PRODUTO_INVALIDO	LB5974 20.53 2 P CN217 7
PRODUTO_INVALIDO	MP8475 12.77 4 P BV115 10
PRODUTO_INVALIDO	AX2764 10.3 3 N BN633 1
PRODUTO_INVALIDO	KR4697 4.93 6 P FS661 1
PRODUTO_INVALIDO	ZA1100 18.75 2 P EV144 12
PRODUTO_INVALIDO	MP8396 1.65 1 N EX895 5
PRODUTO_INVALIDO	BD6088 19.25 1 P AI723 3
PRODUTO_INVALIDO	VO6241 16.86 3 N FL461 10
PRODUTO_INVALIDO	SX3907 20.2 1 P ET841 3
PRODUTO_INVALIDO	AI1952 11.38 6 P EZ587 11
PRODUTO_INVALIDO	AI1838 1.16 6 P DM581 4
PRODUTO_INVALIDO	CI7778 15.76 3 P AV584 9
PRODUTO_INVALIDO	XC2401 3.88 5 N BW365 6
PRODUTO_INVALIDO	CL4477 5.3 6 P BX754 10
PRODUTO_INVALIDO	QZ4689 1.91 3 P DF359 7
PRODUTO_INVALIDO	ZZ6724 12.59 3 N CX901 7
PRODUTO_INVALIDO	ZW1287 17.61 1 N FU230 4
PRODUTO_INVALIDO	HU9352 17.91 1 P DR314 8
PRODUTO_INVALIDO	NZ9923 16.83 1 N DW705 6
PRODUTO_INVALIDO	FL8999 19.69 6 N CX304 4
PRODUTO_INVALIDO	CK2667 7.3 2 N AF370 5
PRODUTO_INVALIDO	BP6975 11.55 2 N CK420 9
PRODUTO_INVALIDO	VC9904 16.36 1 N AQ968 1
PRODUTO_INVALIDO	MT6372 20.98 4 N CW216 1
PRODUTO_INVALIDO	CW1699 3.36 4 P BG938 10
PRODUTO_INVALIDO	BO9371 4.88 4 N BN974 7
PRODUTO_INVALIDO	NX6517 14.25 6 P CZ898 3
PRODUTO_INVALIDO	CI7720 7.91 4 N FP425 11
PRODUTO_INVALIDO	CN1535 6.27 5 N DO894 12
PRODUTO_INVALIDO	ZD4530 16.93 5 N BF757 3
PRODUTO_INVALIDO	GV4516 16.8 1 N EV333 7
PRODUTO_INVALIDO	XJ7162 0.21 5 P AY116 4
PRODUTO_INVALIDO	QZ4727 6.55 1 P FH458 9
PRODUTO_INVALIDO	BP6977 20.51 3 P BN738 6
PRODUTO_INVALIDO	XC2728 9.46 3 N FU349 4
PRODUTO_INVALIDO	QQ4505 11.24 1 P DQ157 8
PRODUTO_INVALIDO	BM6581 18.64 2 N BX814 7
PRODUTO_INVALIDO	CK2630 15.57 6 P BW890 3
PRODUTO_INVALIDO	JR9034 17.16 3 N BU308 5
PRODUTO_INVALIDO	DJ1132 1.47 5 N AP109 3
PRODUTO_INVALIDO	XJ7279 10.6 5 N DW103 11
PRODUTO_INVALIDO	CK2667 17.6 6 P CG159 5
PRODUTO_INVALIDO	QZ4617 9.47 1 N AH394 12
PRODUTO_INVALIDO	IA1535 2.27 6 P EJ519 2
PRODUTO_INVALIDO	EU6224 18.36 6 P EH349 10
PRODUTO_INVALIDO	FC8218 3.66 3 P BQ149 7
PRODUTO_INVALIDO	XJ7262 5.6 6 N BR753 7
PRODUTO_INVALIDO	LB5974 19.44 4 N AS528 4
PRODUTO_INVALIDO	DJ1276 13.2 5 N EY448 3
PRODUTO_INVALIDO	TT3498 19.4 4 N EV361 3
